horizon,method,mse
1,mean_of_trace,1.0368214845657349
2,mean_of_trace,1.0806602239608765
4,mean_of_trace,1.1549197435379028
8,mean_of_trace,1.231707215309143
16,mean_of_trace,1.2642356157302856
32,mean_of_trace,1.431728482246399
64,mean_of_trace,1.3952888250350952
1,random,1.854857448202139
2,random,1.864566002482628
4,random,1.9806045629569664
8,random,2.0701170295173714
16,random,2.0539728752466413
32,random,2.2542884468954596
64,random,2.2081343492632035
1,persistence,0.28118282556533813
2,persistence,0.33760228753089905
4,persistence,0.48756957054138184
8,persistence,0.8529248833656311
16,persistence,1.3337955474853516
32,persistence,1.8551658391952515
64,persistence,2.084284782409668
1,ridge_ar,0.22693697953515787
2,ridge_ar,0.3096676431133495
4,ridge_ar,0.4302307488674512
8,ridge_ar,0.6752789975360804
16,ridge_ar,0.8221016642409057
32,ridge_ar,0.9564200716826811
64,ridge_ar,0.8835516889292252
1,kahlus_gru,0.21121610701084137
2,kahlus_gru,0.27703598141670227
4,kahlus_gru,0.4002917408943176
8,kahlus_gru,0.5832788944244385
16,kahlus_gru,0.690462052822113
32,kahlus_gru,0.8825131058692932
64,kahlus_gru,0.9130381345748901
