horizon_samples,horizon_ms,overlap_fraction,n_test_windows,method,mse,mae,pearson_r,r2,noise_floor
1,4.0,0.9921875,1200,ridge,0.25149873818071744,0.3577701222849824,0.8663985144887871,0.7492332137553981,0.0
1,4.0,0.9921875,1200,persistence,0.29594584114906786,0.37229379609885815,0.8524554245739631,0.7049154678697422,0.0
4,16.0,0.96875,1200,ridge,0.6481748438745683,0.6085776453115365,0.5987383054259452,0.35805229816495765,0.0
4,16.0,0.96875,1200,persistence,0.8780430538903832,0.6936652714003267,0.5652044606751079,0.13039247683881083,0.0
16,64.0,0.875,1200,ridge,0.9043219949642105,0.727329883253075,0.24310748349272365,0.05095729228548862,0.0
16,64.0,0.875,1200,persistence,1.6392279635180427,0.9730364954058264,0.14194744169948165,-0.7202913936866877,0.0
64,256.0,0.5,1200,ridge,0.9982084828411089,0.7437693415880504,0.008142589908024214,-0.005436527105987743,0.0
64,256.0,0.5,1200,persistence,2.0158567150059947,1.0693375906980203,-0.022102702822307883,-1.0304535670846762,0.0
128,512.0,0.0,1200,ridge,0.9843479265413353,0.7449622564688639,0.055941884206001206,0.0015934023090837801,0.0
128,512.0,0.0,1200,persistence,2.12271582663658,1.0936757136068298,-0.07391078564890935,-1.153032915692226,0.0
192,768.0,0.0,1200,ridge,0.9810486502091608,0.7401963608566546,0.09758349265394688,0.009475589321558231,0.0
192,768.0,0.0,1200,persistence,2.1674146389719677,1.0931456089119471,-0.07887413504174783,-1.188349280645582,0.0
